date,home_team,visitor_team,h1_total,h2_total,q1_total,q2_total,q3_total,q4_total,h1_spread,h2_spread,q1_spread,q2_spread,q3_spread,q4_spread
2020-12-25,Boston Celtics,Brooklyn Nets,112.1658917615014,110.09190222860421,56.13297443062726,56.03291733087415,56.426572291509245,53.66532993709497,0.5,0.5,0.25,0.25,0.25,0.25
2020-12-25,Milwaukee Bucks,Golden State Warriors,,,,,,,-3.75,-3.75,-1.875,-1.875,-1.875,-1.875
2020-12-25,Miami Heat,New Orleans Pelicans,,,,,,,-2.75,-2.75,-1.375,-1.375,-1.375,-1.375
2020-12-26,Memphis Grizzlies,Atlanta Hawks,118.94101274038402,116.74174867194272,59.52355677878595,59.417455961598094,59.834888738647386,56.90685993329533,-0.5,-0.5,-0.25,-0.25,-0.25,-0.25
2020-12-27,Washington Wizards,Orlando Magic,114.92612623437951,112.80109892774212,57.51432279469191,57.41180343968761,57.81514565886182,54.9859532688803,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5
2020-12-27,Sacramento Kings,Phoenix Suns,114.42426542112894,112.30851770971705,57.263168546680156,57.1610968744488,57.56267777388862,54.74583993582842,1.75,1.75,0.875,0.875,0.875,0.875
2021-01-02,Houston Rockets,Sacramento Kings,117.68636070725762,115.51029562688004,58.895671158756564,58.790689548501064,59.203719026214394,56.306576600665636,-2.25,-2.25,-1.125,-1.125,-1.125,-1.125
2021-01-23,Phoenix Suns,Denver Nuggets,110.15844850849913,108.1215773565039,55.12835743858024,55.03009106991891,55.41670075161646,52.70487660488745,-0.5,-0.5,-0.25,-0.25,-0.25,-0.25
2021-02-06,Oklahoma City Thunder,Minnesota Timberwolves,110.6603093217497,108.61415857452899,55.37951168659199,55.28079763515772,55.66916863658966,52.944989937939326,1.0,1.0,0.5,0.5,0.5,0.5
2021-02-06,Orlando Magic,Chicago Bulls,112.66775257475196,110.58448344662928,56.384128678639016,56.283623896112964,56.67904017648244,53.90544327014685,1.25,1.25,0.625,0.625,0.625,0.625
2021-02-06,Cleveland Cavaliers,Milwaukee Bucks,114.67519582775422,112.55480831872958,57.388745670686035,57.2864501570682,57.68891171637522,54.86589660235436,5.5,5.5,2.75,2.75,2.75,2.75
2021-02-13,Phoenix Suns,Philadelphia 76ers,113.92240460787838,111.81593649169197,57.0120142986684,56.91039030920999,57.31020988891543,54.50572660277654,0.5,0.5,0.25,0.25,0.25,0.25
2021-03-14,Minnesota Timberwolves,Portland Trail Blazers,116.93356948738177,114.77142379984242,58.51893978673893,58.41462970064285,58.8250171987546,55.946406601087816,2.25,2.25,1.125,1.125,1.125,1.125
2021-03-19,Cleveland Cavaliers,San Antonio Spurs,106.89635322237046,104.91979943934092,53.49585482650383,53.40049839586664,53.77565949929069,51.14413994005024,4.25,4.25,2.125,2.125,2.125,2.125
2021-03-19,Boston Celtics,Sacramento Kings,116.68263908075649,114.52513319082988,58.393362662733054,58.28927641802345,58.69878325626801,55.826349934561875,-2.75,-2.75,-1.375,-1.375,-1.375,-1.375
