team,pace,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,ft_rate
ATL,99.5,114.5,114.5,0.548,13.5,26.0,0.22
BOS,99.5,114.5,114.5,0.548,13.5,26.0,0.22
BKN,99.5,114.5,114.5,0.548,13.5,26.0,0.22
CHA,99.5,114.5,114.5,0.548,13.5,26.0,0.22
CHI,99.5,114.5,114.5,0.548,13.5,26.0,0.22
CLE,99.5,114.5,114.5,0.548,13.5,26.0,0.22
DAL,99.5,114.5,114.5,0.548,13.5,26.0,0.22
DEN,99.5,114.5,114.5,0.548,13.5,26.0,0.22
DET,99.5,114.5,114.5,0.548,13.5,26.0,0.22
GSW,99.5,114.5,114.5,0.548,13.5,26.0,0.22
HOU,99.5,114.5,114.5,0.548,13.5,26.0,0.22
IND,99.5,114.5,114.5,0.548,13.5,26.0,0.22
LAC,99.5,114.5,114.5,0.548,13.5,26.0,0.22
LAL,99.5,114.5,114.5,0.548,13.5,26.0,0.22
MEM,99.5,114.5,114.5,0.548,13.5,26.0,0.22
MIA,99.5,114.5,114.5,0.548,13.5,26.0,0.22
MIL,99.5,114.5,114.5,0.548,13.5,26.0,0.22
MIN,99.5,114.5,114.5,0.548,13.5,26.0,0.22
NOP,99.5,114.5,114.5,0.548,13.5,26.0,0.22
NYK,99.5,114.5,114.5,0.548,13.5,26.0,0.22
OKC,99.5,114.5,114.5,0.548,13.5,26.0,0.22
ORL,99.5,114.5,114.5,0.548,13.5,26.0,0.22
PHI,99.5,114.5,114.5,0.548,13.5,26.0,0.22
PHX,99.5,114.5,114.5,0.548,13.5,26.0,0.22
POR,99.5,114.5,114.5,0.548,13.5,26.0,0.22
SAC,99.5,114.5,114.5,0.548,13.5,26.0,0.22
SAS,99.5,114.5,114.5,0.548,13.5,26.0,0.22
TOR,99.5,114.5,114.5,0.548,13.5,26.0,0.22
UTA,99.5,114.5,114.5,0.548,13.5,26.0,0.22
WAS,99.5,114.5,114.5,0.548,13.5,26.0,0.22
